Title,rating,reviewCount,website,phoneNumber,address,monday,tuesday,wednesday,thursday,friday,saturday,sunday
444Tattoostudio,,,https://www.instagram.com/444tattoostudio/,+27 69 632 3689,Sable Square Shopping Centre - Century City - Cape Town - 7441 - South Africa,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,Closed,Closed
Pearson Ink,,,https://m.facebook.com/login.php?next=https%3A%2F%2Fm.facebook.com%2Fcustomtattoo33%2F%3Ftsid%3D0.5924997147448263%26source%3Dresult&refsrc=deprecated&_rdr,+27 84 544 9808,,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,10a.m. - 4p.m.,Closed
Tattoo At Studio 52,,,,,Milnerton Rural - Cape Town - 7441 - South Africa,,,,,,,
Skin Tattoo Studio,,,https://skintattoo.weebly.com/,+27 66 238 5571,106 Scott Rd - Parow - Cape Town - 7500 - South Africa,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 9p.m.,9a.m. - 5p.m.,9a.m. - 12p.m.,Closed
Long Street Tattoo Co.,,,https://longstreettattoo.co.za/,+27 81 897 2531,305 Long St - CBD - Cape Town - 8001 - South Africa,Closed,11a.m. - 7p.m.,11a.m. - 7p.m.,11a.m. - 7p.m.,11a.m. - 7p.m.,11a.m. - 7p.m.,Closed
West Coast Inked Tattoo,,,,+27 73 733 5724,35 coot cresent Flamingo Vlei - Milnerton Rural - Cape Town - 7441 - South Africa,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.
The Salty Dog Tattoo Parlour,,,,,374 - 14 Salt Circle Arcade - Albert Rd - Salt River - Cape Town - 7925 - South Africa,,,,,,,
The Tattoo Den,,,https://thetattooden.business.site/?utm_source=gmb&utm_medium=referral,+27 73 373 4681,10 Wellington St - Portland - Cape Town - 7785 - South Africa,10a.m. - 10p.m.,10a.m. - 10p.m.,10a.m. - 10p.m.,10a.m. - 10p.m.,10a.m. - 10p.m.,10a.m. - 10p.m.,11a.m. - 8p.m.
Luna Tattoo,,,,,107 Blaauwberg Rd - Table View - Cape Town - 7441 - South Africa,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 3p.m.,10a.m. - 3p.m.
Cailin Tattoo,,,,,111 Loop St - Cape Town City Centre - Cape Town - 8001 - South Africa,Closed,11a.m. - 6p.m.,11a.m. - 6p.m.,11a.m. - 6p.m.,11a.m. - 6p.m.,11a.m. - 4p.m.,Closed
Aztec Tatoo & Piercing,,,,,Edward Rd - Bo Oakdale - Cape Town - 7530 - South Africa,,,,,,,
Die Honest,,,diehonest.com,,Sins of Style - 37 Barrack St - Zonnebloem - Cape Town - 7925 - South Africa,,,,,,,
Cpt Ink Addicts,,,https://cpt-ink-addicts.business.site/?utm_source=gmb&utm_medium=referral,+27 61 585 9347,4 Ayrshire Cl - Westridge - Cape Town - 7785 - South Africa,Closed,Closed,Closed,Closed,Closed,10a.m. - 6p.m.,10a.m. - 3p.m.
Regnif Temporary Tattoos,,,,,45 Mill St - Gardens - Cape Town - 8001 - South Africa,,,,,,,
Temp Tattoos Cc,,,,+27 21 433 0396,Helen Suzman Blvd - Cape Town - 8000 - South Africa,,,,,,,
Disciples Ink,,,,+27 83 783 0183,Floor 1 High Street Ctr Tygervalley - Bellville - 7530 - South Africa,,,,,,,
Killswitch Ink Cape Town,,,,+27 81 499 1138,86 Charles Grodes Cres - Ravensmead - Cape Town - 7493 - South Africa,9a.m. - 6:30p.m.,9a.m. - 6:30p.m.,9a.m. - 6:30p.m.,9a.m. - 6:30p.m.,9a.m. - 6:30p.m.,9a.m. - 6p.m.,Closed
Wild Side Tattoos,,,wildsidetattooz.co.za,+27 78 761 9932,80 Da Gama Street - 1 Barnhyme Court - Brooklyn - Cape Town - 7405 - South Africa,,,,,,,
Here Now Tattoo,,,https://www.instagram.com/herenowtattoo/,,2nd floor - 53 Wale St - CBD - Cape Town - 8001 - South Africa,Closed,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10:30a.m. - 6p.m.,10a.m. - 6p.m.,Closed
Bad Monkey Tattoo Studio,,,,,258 Blaauwberg Rd - Table View - Cape Town - 7441 - South Africa,,,,,,,
The Gallery Tattoo Studio,,,,+27 79 474 8403,363 Albert Rd - Woodstock - Cape Town - 7925 - South Africa,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 3p.m.,Closed
Hood Ink Tattoos,,,https://www.facebook.com/hoodinktattoos,+27 61 854 9087,Postdam Road & - Winning Way - Dunoon - Cape Town - 7441 - South Africa,9a.m. - 7:30p.m.,9a.m. - 7:30p.m.,9a.m. - 7:30p.m.,9a.m. - 7:30p.m.,9a.m. - 7:30p.m.,9a.m. - 7:30p.m.,9a.m. - 7:30p.m.
Skin Deep Tattoos Cpt,,,,+27 72 658 4383,,9a.m. - 10:30p.m.,9a.m. - 10:30p.m.,9a.m. - 10:30p.m.,9a.m. - 10:30p.m.,9a.m. - 10:30p.m.,10a.m. - 8p.m.,10a.m. - 8p.m.
Midnight Sun Tattoo,,,,+27 76 912 1381,unit 5 - Eaton Centre - 19 Blaauwberg Rd - Table View - Cape Town - 7441 - South Africa,Closed,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,Closed
Siegwerk Ink,,,,+27 21 552 6125,17 3rd St - Montague Gdns Ind - Cape Town - 7441 - South Africa,,,,,,,
The Tattoo Valley,,,thetattoovalley.co.za,+27 79 217 6199,Appointment only - 37 Longboat St - Sunnydale - Cape Town - 7975 - South Africa,,,,,,,
Wredekloof Hair And Tattoo Studio,,,https://www.facebook.com/hairbyjessiedk/,+27 76 870 0327,4 Marigold Way - Vredekloof - Cape Town - 7560 - South Africa,9a.m. - 5:30a.m.,9a.m. - 5:30p.m.,9a.m. - 5:30p.m.,9a.m. - 5:30p.m.,8:30a.m. - 5:30p.m.,8:30a.m. - 3p.m.,Closed
The Ink Lounge,,,https://www.facebook.com/The-Ink-Lounge-111249148902892/,+27 84 650 3749,144 Voortrekker Rd - Glenlily - Cape Town - 7500 - South Africa,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,9a.m. - 2p.m.,Closed
Candy Moment Tattoos,,,,,Marine drive - Helderberg Rural - Cape Town - 7140 - South Africa,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 3p.m.,10a.m. - 1p.m.
Freestylers Tattoo Lounge,,,,,12 Beach Blvd - Table View - Cape Town - 7441 - South Africa,,,,,,,
Hooligansink,,,,+27 84 818 5207,25 Rhebok Cl - Loevenstein - Cape Town - 7530 - South Africa,,,,,,,
Tattoo Zone Studio,,,,+27 81 518 2969,83 Voortrekker Rd - Parow - Cape Town - 7500 - South Africa,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 2p.m.
Tattooist Guy,,,https://www.tattooistguy.com/,+27 74 185 8425,48 Albert Rd - Woodstock - Cape Town - 7925 - South Africa,Closed,10a.m. - 5p.m.,10a.m. - 1p.m.,10a.m. - 5p.m.,9a.m. - 12p.m.,10a.m. - 5p.m.,10a.m. - 3p.m.
Blade Tattoos & Piercing,,,https://www.facebook.com/sashabladetattoos/,+27 82 734 6686,,,,,,,,
Ghostbong Tattoos,,,,+27 81 762 9702,128 Fairview Rd - penhill estate - Cape Town - 7100 - South Africa,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours
Tattoos By Gabrin Minnaar,,,,,43 Van Riebeeck Rd - Kuils River - Cape Town - 7580 - South Africa,,,,,,,
Iron Warrior Tattoo Supplies,,,,,5 Cornwall Pl - Wynberg - Cape Town - 7800 - South Africa,,,,,,,
Salvatrix Ink Tattoo Studio,,,,+27 76 798 5377,Grove Ave - Cape Town - 7735 - South Africa,Closed,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 5p.m.
Lafriniere Collection,,,,+27 83 566 7431,138 Bree St - Cape Town City Centre - Cape Town - 8001 - South Africa,,,,,,,
Gugulethu Tattoo Store,,,chrome-error://chromewebdata/,+27 63 785 3572,Ny13 No21 - Guguletu - Cape Town - 7750 - South Africa,9:30a.m. - 6p.m.,9:30a.m. - 6p.m.,9:30a.m. - 6a.m.,9:30a.m. - 6a.m.,9:30a.m. - 6a.m.,9:30a.m. - 6a.m.,11a.m. - 3p.m.
Hoodoo Tattoos,,,,+27 21 554 4086,Eden On The Bay Mall - Sir David Baird Dve - Bloubergstrand - Milnerton - 7441 - South Africa,,,,,,,
Satori Ink Cpt,,,,+27 61 590 6231,Allenby Dr - Retreat - Cape Town - 7945 - South Africa,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.
Inked By Brad,,,https://inkedbybrad.wixsite.com/inkedbybrad,+27 73 830 0961,,Closed,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,Closed
Smackatatt,,,,+27 76 135 3371,2 Kingsmead Ave - Kingston - Cape Town - 7530 - South Africa,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours
Stay Troux Tattoos And Piercings,,,,+27 67 049 7184,,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.
The Tattoo Lounge,,,,+27 81 869 5600,460 Main Rd - Retreat - Cape Town - 7945 - South Africa,Closed,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,Closed
Mean Jean Tattoos,,,,+27 71 179 0057,31 Justin St - Brooklyn - Cape Town - 7405 - South Africa,9a.m. - 7p.m.,9a.m. - 7p.m.,9a.m. - 7p.m.,9a.m. - 7p.m.,9a.m. - 7p.m.,10a.m. - 8p.m.,Closed
C.T.E Tattoos Supplies,,,https://www.illusiontattoos.co.za/,+27 81 374 9130,152 Gie Rd - Table view - Cape Town - 7441 - South Africa,,,,,,,
Shapeshiftstudio,,,,+27 79 710 4312,1 Glynville terrace - no.5A media hive building - Gardens - Cape Town - 0070 - South Africa,Closed,11a.m. - 5:30p.m.,11a.m. - 5:30p.m.,11a.m. - 5:30p.m.,11a.m. - 5:30p.m.,12 - 5:30p.m.,Closed
Oldfield Tattoos,,,,+27 21 461 5218,5 Wandel St - Gardens - Cape Town - 8001 - South Africa,Closed,10:30a.m. - 6p.m.,10:30a.m. - 6p.m.,10:30a.m. - 6p.m.,10:30a.m. - 6p.m.,10:30a.m. - 6p.m.,Closed
Maverick Ink Sa,,,,,120 Main Rd - Muizenberg - Cape Town - 7950 - South Africa,,,,,,,
@ That Tattoo Studio,,,chrome-error://chromewebdata/,+27 65 350 7565,9 Campberwell rd - 702 The Ritz - Sea Point - Cape Town - 8005 - South Africa,10a.m. - 8p.m.,10a.m. - 8p.m.,10a.m. - 8p.m.,10a.m. - 8p.m.,10a.m. - 8p.m.,10a.m. - 8p.m.,10a.m. - 8p.m.
Laser Tattoo Removal Cape Town,,,lasertattooremovalcapetown.co.za,+27 79 168 7209,102 Oakland Hill Rd - Parklands - Cape Town - 7441 - South Africa,Closed,11a.m. - 4p.m.,11a.m. - 4p.m.,11a.m. - 4p.m.,Closed,10a.m. - 4p.m.,Closed
Ctrl+Alt+Del Tattoo Removal & Lightening,,,,+27 83 411 1821,17 Redcliffe Cl - Parklands - Cape Town - 7441 - South Africa,10a.m. - 5:30p.m.,10a.m. - 5:30p.m.,10a.m. - 5:30p.m.,10a.m. - 5:30p.m.,10a.m. - 5:30p.m.,10a.m. - 3p.m.,Closed
Empire Tattoo Studio,,,https://hadleybrauns5.wixsite.com/my-site,+27 84 445 1999,Shop 4 - 144 Main Rd - Somerset West - Cape Town - 7130 - South Africa,,,,,,,
Carvel,,,carvel.co.za,+27 82 044 2038,65 Beach Rd - Chapmans Peak - Cape Town - 7979 - South Africa,,,,,,,
Folk Tattoo & Piercing Studio,,,folktattoo.co.za,+27 67 398 3718,13 Louw St - Stellenbosch Central - Stellenbosch - 7600 - South Africa,Closed,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.
Black.Inktattoostudio,,,,,Mpangele St - Atlantis - Cape Town - 7349 - South Africa,,,,,,,
Ink Aesthetics,,,https://inkaestheticsorg.wordpress.com/,,Beach Rd - Melkbosstrand - Cape Town - 7441 - South Africa,11a.m. - 5p.m.,10a.m. - 6p.m.,11a.m. - 5p.m.,10a.m. - 6p.m.,11a.m. - 3p.m.,Closed,Closed
Black Tiger Ink,,,https://www.facebook.com/Black-Tiger-Ink-608937229628650,+27 82 863 8144,655 Delft Main Rd - Delft South - Cape Town - 7100 - South Africa,Closed,1 - 4p.m.,1 - 4:30p.m.,Closed,Closed,9a.m. - 4p.m.,1 - 4p.m.
Betha_Ink Tattoo & Piercing,,,,+27 67 946 9011,24 Plein St - Cape Town City Centre - Cape Town - 8000 - South Africa,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours
Mmw Artworks,,,https://www.instagram.com/mmwartworks/,+27 74 436 6450,,9:30a.m. - 8:30p.m.,9:30a.m. - 8:30p.m.,9:30a.m. - 8:30p.m.,9:30a.m. - 8:30p.m.,9:30a.m. - 8:30p.m.,9:30a.m. - 8:30p.m.,9:30a.m. - 8:30p.m.
Dust Tattoo,,,dusttattoo.co.za,+27 71 010 3774,Unit 11 - The Royal - 4 Queens Park Ave - Salt River - Cape Town - 7925 - South Africa,Closed,9a.m. - 4:30p.m.,9a.m. - 4:30p.m.,9a.m. - 4:30p.m.,9a.m. - 4:30p.m.,9a.m. - 4:30p.m.,Closed
Primal Culture Tattoo Studio,,,,,108 Main Rd - Plumstead - Cape Town - 7800 - South Africa,,,,,,,
Tattootimes,,,https://zen-tattoo-design.business.site/?utm_source=gmb&utm_medium=referral,+27 81 701 5046,11 Kromriver Cl - Portland - Cape Town - 7785 - South Africa,9a.m. - 7p.m.,9a.m. - 7p.m.,9a.m. - 7p.m.,9a.m. - 7p.m.,9a.m. - 7p.m.,6a.m. - 5p.m.,Closed
Ink Stained Skin,,,,,21 Lower Collingwood Rd - Observatory - Cape Town - 7925 - South Africa,,,,,,,
W.Ink Tattoo Studio,,,,+27 83 460 3509,,,,,,,,
The Tattoo Den,,,,+27 73 373 4681,10 Wellington - Portland - Cape Town - 7785 - South Africa,10a.m. - 10p.m.,10a.m. - 11p.m.,10a.m. - 10p.m.,10a.m. - 10p.m.,10a.m. - 10p.m.,10a.m. - 10p.m.,10a.m. - 10p.m.
Just The Tip Art Studio,,,,+27 83 887 3877,6 Oceanus Way - Phoenix - Cape Town - 7441 - South Africa,11a.m. - 5p.m.,11a.m. - 5p.m.,11a.m. - 5p.m.,11a.m. - 5p.m.,11a.m. - 5p.m.,11a.m. - 5p.m.,12 - 4p.m.
Tattoo Furniture Design,,,,+27 21 421 1338,Culemborg Ctr - Oswald Pirow St - Foreshore - Cape Town - 8001 - South Africa,,,,,,,
Tattoo,,,,,Belvedere Rd - Muizenberg - Cape Town - 7950 - South Africa,,,,,,,
Necrobeartattoos,,,,,10 Berrydel Ave - Greenway Rise - Cape Town - 7130 - South Africa,,,,,,,
Disciples Ink Hermanus Tattoo Studio,,,disciplesink.co.za,+27 78 464 1660,3 High St - CBD - Hermanus - 7200 - South Africa,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 2p.m.,Closed
Handstyle Tattoos 7Th Street Studio,4.8,117,handstyletattoos.co.za,+27 72 540 8368,Shop 4B - 7th St - Melville - Johannesburg - 2109 - South Africa,Closed,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,Closed
1933 Classic Tattoos,4.8,104,http://www.1933.co.za/,+27 11 403 0077,33 De Korte St - Braamfontein - Johannesburg - 2000 - South Africa,9:30a.m. - 5:30p.m.,9:30a.m. - 5:30p.m.,9:30a.m. - 5:30p.m.,9:30a.m. - 5:30p.m.,9:30a.m. - 5:30p.m.,10a.m. - 4p.m.,Closed
Tattoos & Body Piercings By Dee,4.9,276,tattoosbydee.co.za,+27 83 669 0770,Next to Boston College - 36 De Beer St - Braamfontein - Johannesburg - 2001 - South Africa,Closed,11a.m. - 5p.m.,11a.m. - 5p.m.,11a.m. - 5p.m.,11a.m. - 5p.m.,10:30a.m. - 1:30p.m.,Closed
Tattoos By Charlene,4.9,58,https://hilliercharlene.wixsite.com/tattoosbycharlene,+27 71 334 4172,10 Thames Rd - Bertrams - Johannesburg - 2094 - South Africa,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours
J.C Tattoo & Body Piercing,4.6,27,,+27 76 658 2727,139 Main Rd - Newlands - Johannesburg - 2093 - South Africa,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,8:30a.m. - 4p.m.,Closed
Uws Blvck Ink Tattooz - Braamfontein,4.3,33,uwsblvckinktattooz.co.za,+27 83 451 6584,Shop 3 - Right Side - 93 Juta St - Braamfontein - Johannesburg - 2001 - South Africa,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,Closed
Om Tattooz And Body Piercing,5.0,77,,+27 73 233 6855,114 main street - corner Von Brandis St - CBD - Johannesburg - 2000 - South Africa,9a.m. - 5:30p.m.,9a.m. - 5:30p.m.,9a.m. - 5:30p.m.,9a.m. - 5:30p.m.,9a.m. - 5:30p.m.,9a.m. - 3:30p.m.,10a.m. - 2p.m.
Hillbilly Ink Tattoos & Piercing,4.4,72,https://hillbilly-ink-tattoos-piercing.business.site/?utm_source=gmb&utm_medium=referral,+27 82 924 6803,55 St Elmo Ave - Mayfair West - Johannesburg - 2092 - South Africa,Closed,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 3p.m.,Closed
The Crows Nest,4.7,45,https://m.facebook.com/login.php?next=https%3A%2F%2Fm.facebook.com%2Fthecrowsnestsa%2F&refsrc=deprecated&_rdr,+27 83 357 0214,61 4th Ave - Melville - Johannesburg - 2092 - South Africa,Closed,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 4:30p.m.
Soweto Ink,4.5,102,https://www.sowetoink.com/,+27 61 077 4483,Zone 03 - 7580 Immink Street Diepkloof - Johannesburg - 2001 - South Africa,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.
Matchstick Tattoo Studio,4.9,54,matchsticktattoos.co.za,+27 60 742 3986,117 Langerman Dr - South Kensington - Johannesburg - 2094 - South Africa,Closed,10a.m. - 4p.m.,10a.m. - 4p.m.,10a.m. - 4p.m.,10a.m. - 4p.m.,10a.m. - 4p.m.,10a.m. - 4a.m.
Kevins Kustom Tattoos At Sacred Art Tattoo Lounge,4.6,16,https://www.facebook.com/kevinskustomtattoos/,+27 73 144 0115,11 Cadoza St - Westdene - Johannesburg - 2092 - South Africa,,,,,,,
Sacredserpent,4.9,24,,+27 79 526 8498,Unit U4B - Quality House Office Park - 33 St Christopher Rd - St Andrews - Johannesburg - South Africa,Closed,Closed,9a.m. - 4p.m.,9a.m. - 4p.m.,9a.m. - 4p.m.,10a.m. - 3p.m.,Closed
Sally Mustang Tattoos,4.8,333,https://www.sallymustangs.co/,+27 11 809 8094,Were - 39 Stanley Ave - Braamfontein - Johannesburg - 2092 - South Africa,Closed,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,Closed
Ethel Tattoo Artist,4.5,12,,+27 76 235 8235,43 Frost Ave - Braamfontein Werf - Johannesburg - 2092 - South Africa,Closed,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 2p.m.
Os By Tshepo(Private Piercing/Tattoo Shop),5.0,50,tattoosbytshepo.co.za,+27 62 241 5237,24 Siemert Rd - New Doornfontein - Johannesburg - 2001 - South Africa,9a.m. - 9p.m.,9a.m. - 9p.m.,9a.m. - 9p.m.,9p.m. - 12a.m.,9a.m. - 9p.m.,9a.m. - 9p.m.,9a.m. - 5:30p.m.
Dark Neon Tattoos & Piercings,5.0,46,darkneon.co.za,+27 87 941 2676,7 6th St - Parkhurst - Johannesburg - 2193 - South Africa,Closed,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 6p.m.,Closed
Studio57 - Canvas Cultique Tattoo Studio,4.9,89,canvascultique.co.za,+27 83 398 3571,57 6th St - Parkhurst - Randburg - 2193 - South Africa,10a.m. - 5p.m.,10a.m. - 8p.m.,10a.m. - 8p.m.,10a.m. - 8p.m.,10a.m. - 8p.m.,10a.m. - 5p.m.,10a.m. - 2p.m.
Art Pop Tattoos & Piercing,4.8,98,artpop.co.za,+27 64 722 8648,99 Linksfield Rd - Edenvale - Johannesburg - 1609 - South Africa,Closed,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,Closed
Fallen Heroes Tattoo // Art,4.8,433,fallenheroes.co.za,+27 11 028 0994,249 Barry Hertzog Ave - Emmarentia - Randburg - 2195 - South Africa,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,Closed,Closed
Hillside Tattoo Studio,4.9,61,hillsidetattoo.net,+27 68 422 0848,396 Jan Smuts Avenue Randburg - Craighall Park - Johannesburg - 2196 - South Africa,Closed,9a.m. - 4p.m.,9a.m. - 4p.m.,9a.m. - 4p.m.,9a.m. - 4p.m.,9a.m. - 2p.m.,Closed
True Black Body Arts Studio,3.6,22,,+27 72 337 3340,21 Ntemi Piliso St - Newtown - Johannesburg - 2113 - South Africa,,,,,,,
Ink To Skin Tattooing,4.8,68,https://inktoskin.co.za/,+27 84 273 9364,Vitality Medical Centre - 184 Columbine Ave - Mondeor - Johannesburg South - 2091 - South Africa,Open 24 hours,10a.m. - 4:30p.m.,10a.m. - 4:30p.m.,10a.m. - 4:30p.m.,10a.m. - 4:30p.m.,10a.m. - 4:30p.m.,10a.m. - 4:30p.m.
Thinkin' Skin - Temptoo Temporary Tattoos,5.0,11,https://thinkinskin.wordpress.com/%20%20%20%20%20%20%20www.thinkinskin.business.site,+27 78 032 4863,Sneddon St - Sydenham - Johannesburg - 2192 - South Africa,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,Closed
Black And White Tattoo Studio,4.7,307,blackandwhitetattoostudios.co.za,+27 84 288 7525,130 11th St - Parkmore - Sandton - 2196 - South Africa,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,10a.m. - 5p.m.
Convoy Tattoos,4.8,6,https://convoy-tattoos.business.site/?utm_source=gmb&utm_medium=referral,+27 60 352 9467,94 Helen Joseph St - Johannesburg - 2001 - South Africa,8:30a.m. - 6p.m.,8:30a.m. - 6p.m.,8:30a.m. - 6p.m.,8:30a.m. - 6p.m.,8:30a.m. - 6p.m.,8:30a.m. - 6p.m.,8:30a.m. - 6p.m.
Tattoos By Dee (Maboneng),5.0,29,http://www.tattoosbydee.co.za/,+27 82 255 7795,20 Kruger Street. Cnr Fox Street Next to Living Room Jozi Maboneng - Marshalltown - Johannesburg - 2096 - South Africa,Closed,10:30a.m. - 5:30p.m.,10:30a.m. - 5:30p.m.,10:30a.m. - 5:30p.m.,10:30a.m. - 5:30p.m.,10:30a.m. - 3p.m.,10:30a.m. - 4:30p.m.
Ash J Ink,4.9,23,,+27 61 369 2545,16 Hammond Rd - West Turffontein - Johannesburg South - 2190 - South Africa,6a.m. - 11p.m.,6a.m. - 11p.m.,6a.m. - 11p.m.,6a.m. - 11p.m.,6a.m. - 11p.m.,6a.m. - 11p.m.,6a.m. - 11p.m.
Sa Hardcore Social Club,4.8,72,,+27 11 327 2812,16A 4th Ave - Parkhurst - Randburg - 2193 - South Africa,9a.m. - 7p.m.,9a.m. - 7p.m.,9a.m. - 7p.m.,9a.m. - 7p.m.,9a.m. - 7p.m.,9a.m. - 7p.m.,9a.m. - 4p.m.
John'S Custom Tattoo & Piercing,5.0,32,,+27 82 434 2007,94C Rietfontein Rd - Primrose - Johannesburg - 1401 - South Africa,10a.m. - 4p.m.,10a.m. - 4p.m.,Closed,10a.m. - 4p.m.,10a.m. - 4p.m.,10a.m. - 4p.m.,Closed
Empire Tattoos,4.8,86,https://www.facebook.com/Empire-Tattoos-211594895541393/?pnref=lhc,+27 82 931 7563,14th Avenue Shop 106 - Fairlands on 14th Shopping Centre - Fairland - Johannesburg - 2000 - South Africa,Closed,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,Closed
Black Hounds Studio,5.0,28,blackhounds.co.za,+27 67 979 5807,9 4th Ave - Parkhurst - Johannesburg - 2193 - South Africa,Closed,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.
Alain Tattoos,3.7,3,alaintattoos.co.za,+27 82 448 0716,28B Garden Rd - Orchards - Johannesburg - 2192 - South Africa,,,,,,,
Nando Tatu,4.7,15,nandotatu.com,+27 78 647 7264,37 Henry Nxumalo St - Newtown - Johannesburg - 2001 - South Africa,9:30a.m. - 8p.m.,9a.m. - 8p.m.,9a.m. - 8p.m.,9a.m. - 8p.m.,9a.m. - 8p.m.,9a.m. - 9p.m.,9:30a.m. - 3p.m.
Dag'S Art Studio,5.0,20,https://dags-art-studio.business.site/?utm_source=gmb&utm_medium=referral,+27 62 043 2493,Shop 118 Newgate Shopping Centre - 103 Rahima Moosa St - Newtown - Johannesburg - 2001 - South Africa,10a.m. - 7p.m.,10a.m. - 7p.m.,10a.m. - 7p.m.,10a.m. - 7p.m.,10a.m. - 7p.m.,10a.m. - 7p.m.,10a.m. - 4p.m.
